일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/12/09","101000","-2500","-2.42","104500","105000","99100","1493777","149827864500","9877935744000","97801344"
"2022/12/08","103500","-1500","-1.43","104700","105600","103300","604990","62989629400","10122439104000","97801344"
"2022/12/07","105000","600","0.57","103100","106000","103100","596945","62512406900","10269141120000","97801344"
"2022/12/06","104400","-2300","-2.16","105000","105900","103700","787926","82434859000","10210460313600","97801344"
"2022/12/05","106700","-3200","-2.91","110000","110900","106000","878090","94596832000","10435403404800","97801344"
"2022/12/02","109900","-5200","-4.52","115300","115400","109500","1426106","158144611100","10748367705600","97801344"
"2022/12/01","115100","1300","1.14","116100","117000","114600","1069289","123894660500","11256934694400","97801344"
"2022/11/30","113800","3300","2.99","109700","113800","107500","1085218","120869017400","11129792947200","97801344"
"2022/11/29","110500","1000","0.91","109000","111000","108300","469756","51675315900","10807048512000","97801344"
"2022/11/28","109500","-3900","-3.44","113300","113300","108900","790658","87919329100","10709247168000","97801344"
"2022/11/25","113400","4600","4.23","109500","114900","108500","1504283","169493946300","11090672409600","97801344"
"2022/11/24","108800","3500","3.32","107200","108800","106700","633634","68361543300","10640786227200","97801344"
"2022/11/23","105300","2800","2.73","103600","105400","103100","588936","61551104100","10298481523200","97801344"
"2022/11/22","102500","-2900","-2.75","105100","106100","102300","735515","76374136100","10024637760000","97801344"
"2022/11/21","105400","-3900","-3.57","109300","109300","104800","1107684","117404998900","10308261657600","97801344"
"2022/11/18","109300","-1500","-1.35","110800","111600","109000","622197","68504884400","10689686899200","97801344"
"2022/11/17","110800","-1700","-1.51","112500","112500","109700","575393","63839625500","10836388915200","97801344"
"2022/11/16","112500","-4100","-3.52","116800","116800","111100","1381227","155615887500","11002651200000","97801344"
"2022/11/15","116600","900","0.78","117400","118800","115000","1164795","135915070500","11403636710400","97801344"
"2022/11/14","115700","5100","4.61","112000","117000","111800","2325025","267881475100","11315615500800","97801344"
"2022/11/11","110600","3700","3.46","111700","112900","109000","1752384","194506790500","10816828646400","97801344"
"2022/11/10","106900","-2200","-2.02","107100","109700","106800","899600","96836942800","10454963673600","97801344"
"2022/11/09","109100","300","0.28","109400","109800","107500","737451","80094848100","10670126630400","97801344"
"2022/11/08","108800","100","0.09","108900","109500","104600","971591","104668265700","10640786227200","97801344"
"2022/11/07","108700","-1300","-1.18","110100","110200","107300","827471","89592967000","10631006092800","97801344"
