일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/12/09","90100","1900","2.15","88700","90400","88200","87009","7807481200","2548816825500","28288755"
"2022/12/08","88200","-2300","-2.54","90200","90400","87800","103301","9131482200","2495068191000","28288755"
"2022/12/07","90500","4700","5.48","85900","90700","85600","202934","18132611400","2560132327500","28288755"
"2022/12/06","85800","700","0.82","84700","86900","84300","87333","7515273500","2427175179000","28288755"
"2022/12/05","85100","1200","1.43","83900","86000","83500","73324","6239190700","2407373050500","28288755"
"2022/12/02","83900","-500","-0.59","84400","85200","83900","54859","4625508200","2373426544500","28288755"
"2022/12/01","84400","-100","-0.12","85200","85800","84300","72503","6157908200","2387570922000","28288755"
"2022/11/30","84500","400","0.48","83700","84800","83600","53235","4497991300","2390399797500","28288755"
"2022/11/29","84100","1000","1.20","83100","84400","82600","33043","2766889500","2379084295500","28288755"
"2022/11/28","83100","-2500","-2.92","85500","85500","82900","78651","6553094300","2350795540500","28288755"
"2022/11/25","85600","400","0.47","85700","85800","85200","21834","1866531500","2421517428000","28288755"
"2022/11/24","85200","-900","-1.05","86000","86400","85100","60215","5152942300","2410201926000","28288755"
"2022/11/23","86100","800","0.94","86100","86500","85300","35826","3082556200","2435661805500","28288755"
"2022/11/22","85300","-1500","-1.73","86900","86900","85100","55872","4796408200","2413030801500","28288755"
"2022/11/21","86800","-600","-0.69","86900","87700","85800","63478","5503285200","2455463934000","28288755"
"2022/11/18","87400","-900","-1.02","88200","88300","86900","60091","5256781100","2472437187000","28288755"
"2022/11/17","88300","-2700","-2.97","90500","90800","88200","54998","4893768100","2497897066500","28288755"
"2022/11/16","91000","700","0.78","91000","91300","89200","56234","5081138500","2574276705000","28288755"
"2022/11/15","90300","-300","-0.33","91200","91300","90100","44175","3996458700","2554474576500","28288755"
"2022/11/14","90600","500","0.55","89700","91500","89200","74874","6769671800","2562961203000","28288755"
"2022/11/11","90100","2500","2.85","89500","90200","88000","96777","8630830400","2548816825500","28288755"
"2022/11/10","87600","-1800","-2.01","88800","89400","87600","69726","6159404300","2478094938000","28288755"
"2022/11/09","89400","300","0.34","90000","90500","89100","65204","5850436100","2529014697000","28288755"
"2022/11/08","89100","200","0.22","89500","89800","88500","75813","6766810200","2520528070500","28288755"
"2022/11/07","88900","-900","-1.00","90700","92800","88000","137542","12229930600","2514870319500","28288755"
"2022/11/04","89800","800","0.90","88600","90100","87000","58244","5160080300","2540330199000","28288755"
"2022/11/03","89000","-600","-0.67","87700","89600","87000","53736","4742721500","2517699195000","28288755"
"2022/11/02","89600","1400","1.59","88200","89800","87400","56297","4996576300","2534672448000","28288755"
"2022/11/01","88200","800","0.92","87000","88400","86600","48712","4278916200","2495068191000","28288755"
"2022/10/31","87400","-4000","-4.38","91200","91300","86600","117887","10308170800","2472437187000","28288755"
"2022/10/28","91400","1700","1.90","89100","91800","89000","48491","4404056700","2585592207000","28288755"
"2022/10/27","89700","1300","1.47","89100","90500","88900","49852","4463173900","2537501323500","28288755"
"2022/10/26","88400","-100","-0.11","88600","88900","87700","35375","3120590800","2500725942000","28288755"
"2022/10/25","88500","-1400","-1.56","90600","90700","88000","45387","4025010500","2503554817500","28288755"
"2022/10/24","89900","-500","-0.55","91200","91700","89600","37570","3402479400","2543159074500","28288755"
"2022/10/21","90400","-1400","-1.53","91700","91800","89300","48238","4356483100","2557303452000","28288755"
"2022/10/20","91800","1800","2.00","89500","92800","89500","106829","9787731400","2596907709000","28288755"
"2022/10/19","90000","-500","-0.55","90900","92200","90000","39543","3598472800","2545987950000","28288755"
"2022/10/18","90500","1800","2.03","89800","90500","88800","37575","3372971100","2560132327500","28288755"
"2022/10/17","88700","-200","-0.22","88400","88700","87000","29863","2617902800","2509212568500","28288755"
"2022/10/14","88900","1500","1.72","88700","89400","87700","33154","2943270800","2514870319500","28288755"
"2022/10/13","87400","-1700","-1.91","89100","89600","87400","48075","4245637700","2472437187000","28288755"
"2022/10/12","89100","700","0.79","88100","89200","86600","57229","5048635600","2520528070500","28288755"
"2022/10/11","88400","-1000","-1.12","88400","89400","86500","47729","4185820000","2500725942000","28288755"
"2022/10/07","89400","600","0.68","87600","90000","87600","45602","4065762900","2529014697000","28288755"
"2022/10/06","88800","1100","1.25","88400","89700","88000","30351","2700582400","2512041444000","28288755"
"2022/10/05","87700","-3400","-3.73","91600","91600","87400","50520","4469645700","2480923813500","28288755"
"2022/10/04","91100","4600","5.32","87700","91100","87000","73919","6653143900","2577105580500","28288755"
"2022/09/30","86500","-800","-0.92","87100","87900","86000","51610","4479453700","2446977307500","28288755"
"2022/09/29","87300","-500","-0.57","89700","90300","87100","61068","5382300400","2469608311500","28288755"
"2022/09/28","87800","-2100","-2.34","89300","90400","86000","78641","6893211500","2483752689000","28288755"
"2022/09/27","89900","3600","4.17","87100","90000","86100","85920","7610744100","2543159074500","28288755"
"2022/09/26","86300","-4100","-4.54","88500","89200","85200","114062","9854344100","2441319556500","28288755"
"2022/09/23","90400","-3400","-3.62","93400","93800","89700","81015","7354726900","2557303452000","28288755"
"2022/09/22","93800","-600","-0.64","93100","94200","92300","34168","3176542200","2653485219000","28288755"
"2022/09/21","94400","0","0.00","93500","95500","92700","39913","3778189400","2670458472000","28288755"
"2022/09/20","94400","2100","2.28","93400","94500","93000","33581","3148221000","2670458472000","28288755"
"2022/09/19","92300","-1100","-1.18","94200","94200","91600","41513","3834753900","2611052086500","28288755"
"2022/09/16","93400","-1100","-1.16","93600","94800","92900","42187","3942297800","2642169717000","28288755"
"2022/09/15","94500","700","0.75","94100","94900","93000","39841","3750302200","2673287347500","28288755"
"2022/09/14","93800","-4200","-4.29","95400","96600","93500","64519","6115550400","2653485219000","28288755"
"2022/09/13","98000","300","0.31","98500","99300","97400","51141","5007187600","2772297990000","28288755"
"2022/09/08","97700","2200","2.30","96600","98200","95500","54226","5270427700","2763811363500","28288755"
"2022/09/07","95500","-1800","-1.85","96800","97200","95200","44833","4290015800","2701576102500","28288755"
"2022/09/06","97300","300","0.31","97700","98400","96500","36521","3558626300","2752495861500","28288755"
"2022/09/05","97000","200","0.21","96000","97900","95900","25247","2454002900","2744009235000","28288755"
"2022/09/02","96800","700","0.73","96200","97100","95200","25705","2473465500","2738351484000","28288755"
"2022/09/01","96100","-2700","-2.73","97800","98600","96000","59543","5766323900","2718549355500","28288755"
"2022/08/31","98800","-500","-0.50","98500","99300","97800","47724","4710692600","2794928994000","28288755"
"2022/08/30","99300","1700","1.74","98500","99500","97400","30214","2987055100","2809073371500","28288755"
"2022/08/29","97600","-2900","-2.89","97000","98200","97000","43998","4290562900","2760982488000","28288755"
"2022/08/26","100500","0","0.00","101000","101000","99400","41395","4138293300","2843019877500","28288755"
"2022/08/25","100500","900","0.90","99900","101000","99400","31757","3185141700","2843019877500","28288755"
"2022/08/24","99600","100","0.10","99500","100500","98200","48360","4803678200","2817559998000","28288755"
"2022/08/23","99500","-2000","-1.97","101000","101500","98900","48615","4855429700","2814731122500","28288755"
"2022/08/22","101500","1500","1.50","99200","102000","98300","58681","5903785300","2871308632500","28288755"
"2022/08/19","100000","-1500","-1.48","101500","101500","99900","30580","3064307200","2828875500000","28288755"
"2022/08/18","101500","500","0.50","100000","102500","99400","51059","5165138900","2871308632500","28288755"
"2022/08/17","101000","0","0.00","101500","102500","100000","35039","3532908000","2857164255000","28288755"
"2022/08/16","101000","-1000","-0.98","103000","103000","99800","56100","5635469400","2857164255000","28288755"
"2022/08/12","102000","-1000","-0.97","103000","103000","100000","63036","6378015500","2885453010000","28288755"
"2022/08/11","103000","1500","1.48","102000","103000","101000","64260","6577214500","2913741765000","28288755"
"2022/08/10","101500","0","0.00","101000","102500","100500","56072","5670690500","2871308632500","28288755"
"2022/08/09","101500","0","0.00","102000","104000","100000","134747","13666228000","2871308632500","28288755"
"2022/08/08","101500","4500","4.64","99000","102000","98800","166316","16720363000","2871308632500","28288755"
"2022/08/05","97000","1500","1.57","95800","97000","95200","53506","5175781000","2744009235000","28288755"
"2022/08/04","95500","1500","1.60","94200","96400","94200","67537","6441543800","2701576102500","28288755"
"2022/08/03","94000","2100","2.29","91200","94000","91200","55610","5178651200","2659142970000","28288755"
"2022/08/02","91900","-2000","-2.13","93800","93800","91400","67028","6184482700","2599736584500","28288755"
"2022/08/01","93900","-1500","-1.57","94700","96300","93000","74904","7060927900","2656314094500","28288755"
"2022/07/29","95400","2300","2.47","93800","95500","93500","92074","8747795700","2698747227000","28288755"
"2022/07/28","93100","-1500","-1.59","94700","95300","93000","67358","6308634600","2633683090500","28288755"
"2022/07/27","94600","-300","-0.32","94500","94600","93000","70799","6643888300","2676116223000","28288755"
"2022/07/26","94900","700","0.74","93700","94900","92900","52157","4909979900","2684602849500","28288755"
"2022/07/25","94200","500","0.53","93100","95000","93100","45062","4235627400","2664800721000","28288755"
"2022/07/22","93700","-900","-0.95","94700","95600","93100","68386","6410538100","2650656343500","28288755"
"2022/07/21","94600","1400","1.50","94000","97500","93900","154505","14783427900","2676116223000","28288755"
"2022/07/20","93200","3700","4.13","90600","96800","89100","294681","27342899500","2636511966000","28288755"
"2022/07/19","89500","-400","-0.44","89500","89900","88900","40242","3595877300","2531843572500","28288755"
"2022/07/18","89900","1100","1.24","89200","90400","88600","49743","4458629300","2543159074500","28288755"
"2022/07/15","88800","-1300","-1.44","90700","90700","85600","99251","8692254100","2512041444000","28288755"
"2022/07/14","90100","-400","-0.44","90600","92000","90100","84143","7624707000","2548816825500","28288755"
"2022/07/13","90500","400","0.44","89900","92100","89800","69303","6310439700","2560132327500","28288755"
"2022/07/12","90100","-4200","-4.45","93900","94200","89200","125899","11410044000","2548816825500","28288755"
"2022/07/11","94300","-4700","-4.75","99000","99900","94000","144799","13855776500","2667629596500","28288755"
"2022/07/08","99000","500","0.51","98800","101000","98200","86853","8620453300","2800586745000","28288755"
"2022/07/07","98500","-800","-0.81","99900","100500","97000","85545","8421195200","2786442367500","28288755"
"2022/07/06","99300","-2700","-2.65","101500","102500","98700","95472","9550479100","2809073371500","28288755"
"2022/07/05","102000","-1500","-1.45","104000","104500","101000","68348","6996475000","2885453010000","28288755"
"2022/07/04","103500","3000","2.99","101000","103500","100500","75660","7740867500","2927886142500","28288755"
"2022/07/01","100500","-3500","-3.37","104500","105000","100000","94241","9600225500","2843019877500","28288755"
"2022/06/30","104000","2000","1.96","102000","104000","101500","108302","11193790500","2942030520000","28288755"
"2022/06/29","102000","-1000","-0.97","101500","103500","101000","62603","6399914000","2885453010000","28288755"
"2022/06/28","103000","-500","-0.48","103500","103500","101500","54114","5549212500","2913741765000","28288755"
"2022/06/27","103500","2500","2.48","101500","104000","100500","106359","10908936500","2927886142500","28288755"
"2022/06/24","101000","2100","2.12","98900","101500","98800","68722","6901143900","2857164255000","28288755"
"2022/06/23","98900","-300","-0.30","99500","101500","98600","132953","13292239600","2797757869500","28288755"
"2022/06/22","99200","-3800","-3.69","103000","103000","99200","70504","7069000200","2806244496000","28288755"
"2022/06/21","103000","4900","4.99","98400","103500","98200","100333","10158674600","2913741765000","28288755"
"2022/06/20","98100","200","0.20","98500","101000","97300","90782","8973604900","2775126865500","28288755"
"2022/06/17","97900","-3100","-3.07","99400","100000","97300","129973","12770144400","2769469114500","28288755"
"2022/06/16","101000","500","0.50","102500","103000","100500","82987","8435986000","2857164255000","28288755"
"2022/06/15","100500","-1000","-0.99","102000","102500","99700","103389","10435417300","2843019877500","28288755"
"2022/06/14","101500","500","0.50","99800","104500","99000","164665","16778691700","2871308632500","28288755"
"2022/06/13","101000","-3000","-2.88","102000","103500","100500","114431","11633566500","2857164255000","28288755"
"2022/06/10","104000","-2000","-1.89","105500","106000","104000","62719","6562767500","2942030520000","28288755"
"2022/06/09","106000","-2000","-1.85","107500","109000","105500","112653","12047052000","2998608030000","28288755"
"2022/06/08","108000","3000","2.86","106000","110500","105500","223944","24350988500","3055185540000","28288755"
"2022/06/07","105000","-1500","-1.41","106500","107500","104500","114553","12114626000","2970319275000","28288755"
"2022/06/03","106500","8000","8.12","99300","107000","99200","357355","37241645500","3012752407500","28288755"
"2022/06/02","98500","-3000","-2.96","100000","100500","98400","80498","7985092800","2786442367500","28288755"
"2022/05/31","101500","1500","1.50","100500","101500","100000","157268","15875411000","2871308632500","28288755"
"2022/05/30","100000","1900","1.94","98300","101000","98300","94010","9401305200","2828875500000","28288755"
"2022/05/27","98100","1600","1.66","98000","98500","97200","62833","6149615300","2775126865500","28288755"
"2022/05/26","96500","-900","-0.92","97600","97700","96300","42517","4119947600","2729864857500","28288755"
"2022/05/25","97400","400","0.41","97500","97700","96400","49144","4783894700","2755324737000","28288755"
"2022/05/24","97000","-600","-0.61","97600","97900","96600","36618","3562563400","2744009235000","28288755"
"2022/05/23","97600","1300","1.35","96500","97600","94900","54284","5252215400","2760982488000","28288755"
"2022/05/20","96300","-700","-0.72","97300","97700","96200","69802","6753900500","2724207106500","28288755"
"2022/05/19","97000","-4000","-3.96","99000","99500","96600","118352","11547703000","2744009235000","28288755"
"2022/05/18","101000","0","0.00","101500","102500","99800","59214","5958507300","2857164255000","28288755"
"2022/05/17","101000","-1000","-0.98","101500","103000","100500","61631","6244338000","2857164255000","28288755"
"2022/05/16","102000","500","0.49","102500","103000","100500","91957","9396427000","2885453010000","28288755"
"2022/05/13","101500","3900","4.00","98900","103000","98000","227599","23064654700","2871308632500","28288755"
"2022/05/12","97600","800","0.83","95800","99800","95400","207818","20471222600","2760982488000","28288755"
"2022/05/11","96800","3800","4.09","93000","97800","92700","147296","14250143900","2738351484000","28288755"
"2022/05/10","93000","-1300","-1.38","92600","93500","91800","103632","9613647300","2630854215000","28288755"
"2022/05/09","94300","700","0.75","93700","94900","92800","83938","7889491000","2667629596500","28288755"
"2022/05/06","93600","100","0.11","92600","95000","92400","65919","6195307100","2647827468000","28288755"
"2022/05/04","93500","-800","-0.85","94100","94900","93100","40343","3784896300","2644998592500","28288755"
"2022/05/03","94300","-200","-0.21","94200","95100","94000","31707","2996428300","2667629596500","28288755"
"2022/05/02","94500","0","0.00","93400","94900","93400","27091","2549120100","2673287347500","28288755"
"2022/04/29","94500","900","0.96","93000","94500","93000","41683","3921779100","2673287347500","28288755"
"2022/04/28","93600","2000","2.18","92000","93800","91200","49684","4612858700","2647827468000","28288755"
"2022/04/27","91600","-2600","-2.76","92100","92500","91000","76994","7047274800","2591249958000","28288755"
