일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/12/09","10150","190","1.91","9960","10150","9950","59320","596096150","190361707200","18754848"
"2022/12/08","9960","-90","-0.90","10050","10100","9900","112214","1118637780","186798286080","18754848"
"2022/12/07","10050","0","0.00","10000","10150","9980","54289","544586350","188486222400","18754848"
"2022/12/06","10050","-150","-1.47","10100","10300","10000","80793","815535750","188486222400","18754848"
"2022/12/05","10200","0","0.00","10150","10300","10000","107238","1090371000","191299449600","18754848"
"2022/12/02","10200","-100","-0.97","10300","10300","10100","70916","721810500","191299449600","18754848"
"2022/12/01","10300","360","3.62","10000","10400","9990","228566","2329234390","193174934400","18754848"
"2022/11/30","9940","-50","-0.50","10000","10200","9940","128483","1288076210","186423189120","18754848"
"2022/11/29","9990","230","2.36","9700","9990","9700","84559","837258140","187360931520","18754848"
"2022/11/28","9760","-200","-2.01","9970","9970","9720","129038","1264539910","183047316480","18754848"
"2022/11/25","9960","-40","-0.40","10100","10150","9960","132658","1328327340","186798286080","18754848"
"2022/11/24","10000","200","2.04","9800","10150","9800","211688","2113716260","187548480000","18754848"
"2022/11/23","9800","-170","-1.71","9970","10050","9800","292457","2885871490","183797510400","18754848"
"2022/11/22","9970","-10","-0.10","9980","10100","9940","138799","1387390300","186985834560","18754848"
"2022/11/21","9980","-320","-3.11","10300","10300","9970","267964","2688037380","187173383040","18754848"
"2022/11/18","10300","-50","-0.48","10350","10450","10250","184534","1905155050","193174934400","18754848"
"2022/11/17","10350","-50","-0.48","10400","10450","10250","155213","1601191000","194112676800","18754848"
"2022/11/16","10400","50","0.48","10500","10550","10200","349145","3612627100","195050419200","18754848"
"2022/11/15","10350","-1800","-14.81","11450","11550","10200","1292762","13751219900","194112676800","18754848"
"2022/11/14","12150","500","4.29","11650","12150","11600","120290","1430732100","227871403200","18754848"
"2022/11/11","11650","400","3.56","11800","11800","11450","85742","994036550","218493979200","18754848"
"2022/11/10","11250","-150","-1.32","11350","11550","11200","72359","818650900","210992040000","18754848"
"2022/11/09","11400","100","0.88","11350","11550","11250","78830","899346800","213805267200","18754848"
"2022/11/08","11300","250","2.26","11100","11350","10950","239771","2664482000","211929782400","18754848"
"2022/11/07","11050","-200","-1.78","11350","11350","11000","216023","2394775250","207241070400","18754848"
"2022/11/04","11250","-800","-6.64","11950","12000","11100","240252","2721160950","210992040000","18754848"
"2022/11/03","12050","-100","-0.82","12000","12150","11800","26482","316827750","225995918400","18754848"
"2022/11/02","12150","0","0.00","12150","12250","11950","13744","166714450","227871403200","18754848"
"2022/11/01","12150","250","2.10","11800","12200","11700","21128","254195350","227871403200","18754848"
"2022/10/31","11900","100","0.85","11800","12100","11650","17050","202412800","223182691200","18754848"
"2022/10/28","11800","100","0.85","11900","11900","11400","22976","269168250","221307206400","18754848"
"2022/10/27","11700","150","1.30","11550","11850","11550","18950","221973450","219431721600","18754848"
"2022/10/26","11550","-100","-0.86","11700","11750","11500","18400","213396100","216618494400","18754848"
"2022/10/25","11650","0","0.00","11650","11800","11600","14503","169363500","218493979200","18754848"
"2022/10/24","11650","200","1.75","11500","11700","11450","34841","402684600","218493979200","18754848"
"2022/10/21","11450","-300","-2.55","11750","11900","11350","53102","610916150","214743009600","18754848"
"2022/10/20","11750","-350","-2.89","12050","12200","11750","18986","225159250","220369464000","18754848"
"2022/10/19","12100","100","0.83","12150","12200","11800","60249","722154450","226933660800","18754848"
"2022/10/18","12000","-50","-0.41","12200","12750","11900","103638","1261185700","225058176000","18754848"
"2022/10/17","12050","-100","-0.82","11800","12050","11450","14914","176893050","225995918400","18754848"
"2022/10/14","12150","650","5.65","11850","12250","11700","29967","359993800","227871403200","18754848"
"2022/10/13","11500","-700","-5.74","12250","12250","11500","61462","718090950","215680752000","18754848"
"2022/10/12","12200","450","3.83","11750","12400","11450","66080","798352500","228809145600","18754848"
"2022/10/11","11750","50","0.43","11600","11750","11100","64448","737443400","220369464000","18754848"
"2022/10/07","11700","150","1.30","11550","11700","11400","33819","390489450","219431721600","18754848"
"2022/10/06","11550","-100","-0.86","11550","11800","11500","61136","709209300","216618494400","18754848"
"2022/10/05","11650","50","0.43","11650","11850","11250","52403","603879350","218493979200","18754848"
"2022/10/04","11600","100","0.87","11800","11800","11350","67848","781748600","217556236800","18754848"
"2022/09/30","11500","-100","-0.86","11500","11700","11000","190937","2135289800","215680752000","18754848"
"2022/09/29","11600","0","0.00","11800","12150","11600","44960","536159800","217556236800","18754848"
"2022/09/28","11600","-350","-2.93","11950","12350","11500","66630","790230450","217556236800","18754848"
"2022/09/27","11950","-400","-3.24","12250","12500","11700","107718","1287175150","224120433600","18754848"
"2022/09/26","12350","-1000","-7.49","13050","13050","12300","100361","1271694600","231622372800","18754848"
"2022/09/23","13350","-350","-2.55","13550","13600","13150","43459","577080800","250377220800","18754848"
"2022/09/22","13700","50","0.37","13650","13700","13250","32073","431997850","256941417600","18754848"
"2022/09/21","13650","400","3.02","13150","13700","13050","73318","987637900","256003675200","18754848"
"2022/09/20","13250","-50","-0.38","13400","13400","13100","42220","557264200","248501736000","18754848"
"2022/09/19","13300","-250","-1.85","13650","13650","13150","41480","548893750","249439478400","18754848"
"2022/09/16","13550","0","0.00","13500","13600","12950","127890","1696707500","254128190400","18754848"
"2022/09/15","13550","-400","-2.87","14000","14100","13400","83577","1139191550","254128190400","18754848"
"2022/09/14","13950","-100","-0.71","13650","14100","13600","45879","633881950","261630129600","18754848"
"2022/09/13","14050","150","1.08","14150","14250","13800","49851","697670250","263505614400","18754848"
"2022/09/08","13900","-350","-2.46","14250","14400","13750","110937","1549644850","260692387200","18754848"
"2022/09/07","14250","-250","-1.72","14200","14550","13900","137154","1945398900","267256584000","18754848"
"2022/09/06","14500","250","1.75","14200","14500","14050","43000","615744900","143604230000","9903740"
"2022/09/05","14250","-450","-3.06","14300","14500","13950","236189","3361863000","141128295000","9903740"
"2022/09/02","14700","-150","-1.01","14900","15050","14450","35715","525648000","145584978000","9903740"
"2022/09/01","14850","-50","-0.34","14750","14950","14500","44117","651113500","147070539000","9903740"
"2022/08/31","14900","100","0.68","14800","15000","14400","61536","905791350","134155726000","9003740"
"2022/08/30","14800","-600","-3.90","14650","14850","13950","208941","3036397150","133255352000","9003740"
"2022/08/29","15400","-850","-5.23","16000","16000","15300","38018","589872000","138657596000","9003740"
"2022/08/26","16250","-150","-0.91","16500","16600","16250","18645","304717850","146310775000","9003740"
"2022/08/25","16400","-400","-2.38","16850","16850","16400","35830","593156650","147661336000","9003740"
