일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/12/09","118000","2500","2.16","116500","118500","115500","113335","13309788000","4665263576000","39536132"
"2022/12/08","115500","0","0.00","115500","116000","114000","89520","10305658500","4566423246000","39536132"
"2022/12/07","115500","1500","1.32","114500","118000","114000","94624","10989776000","4566423246000","39536132"
"2022/12/06","114000","-2000","-1.72","115500","116500","112500","73947","8458677000","4507119048000","39536132"
"2022/12/05","116000","500","0.43","115500","117000","112500","82660","9512392000","4586191312000","39536132"
"2022/12/02","115500","-1000","-0.86","116500","117000","114500","72435","8346841500","4566423246000","39536132"
"2022/12/01","116500","-1000","-0.85","117500","118500","114500","146556","17030245436","4605959378000","39536132"
"2022/11/30","117500","1500","1.29","116500","118500","113500","266088","31193269500","4645495510000","39536132"
"2022/11/29","116000","4000","3.57","112000","117000","112000","139937","16127716000","4586191312000","39536132"
"2022/11/28","112000","-2000","-1.75","112500","113000","109500","75553","8430086375","4428046784000","39536132"
"2022/11/25","114000","500","0.44","114000","114500","111500","65170","7386036000","4507119048000","39536132"
"2022/11/24","113500","1500","1.34","111500","115000","110500","126555","14366154000","4487350982000","39536132"
"2022/11/23","112000","2500","2.28","109500","112500","108000","72416","8057582500","4428046784000","39536132"
"2022/11/22","109500","-500","-0.45","109500","112000","107500","84442","9240402000","4329206454000","39536132"
"2022/11/21","110000","-500","-0.45","110500","111500","109000","73106","8066316500","4348974520000","39536132"
"2022/11/18","110500","-1500","-1.34","112500","112500","109500","105239","11668014500","4368742586000","39536132"
"2022/11/17","112000","2500","2.28","108500","112000","108000","175303","19411226518","4428046784000","39536132"
"2022/11/16","109500","3000","2.82","107000","110000","106500","199800","21827612500","4329206454000","39536132"
"2022/11/15","106500","2000","1.91","105500","107500","104500","121092","12864916000","4210598058000","39536132"
"2022/11/14","104500","1500","1.46","103000","105000","102500","98561","10272559000","4131525794000","39536132"
"2022/11/11","103000","0","0.00","104000","104500","100500","178011","18191644500","4072221596000","39536132"
"2022/11/10","103000","4900","4.99","98200","104500","98100","272308","27768357900","4072221596000","39536132"
"2022/11/09","98100","200","0.20","98500","99100","97400","110743","10858436900","3878494549200","39536132"
"2022/11/08","97900","900","0.93","97200","98600","97000","77166","7557467700","3870587322800","39536132"
"2022/11/07","97000","-3500","-3.48","100000","100500","96500","162665","15915378900","3835004804000","39536132"
"2022/11/04","100500","1500","1.52","98700","100500","98400","86935","8658275100","3973381266000","39536132"
"2022/11/03","99000","-1500","-1.49","99400","100500","98800","91294","9076191600","3914077068000","39536132"
"2022/11/02","100500","600","0.60","99600","101000","99100","57453","5751935600","3973381266000","39536132"
"2022/11/01","99900","-1600","-1.58","101000","101500","99500","74850","7492701000","3949659586800","39536132"
"2022/10/31","101500","500","0.50","101000","102000","100500","41606","4218239500","4012917398000","39536132"
"2022/10/28","101000","0","0.00","100500","102000","100000","46009","4650573500","3993149332000","39536132"
"2022/10/27","101000","-1000","-0.98","102000","104500","99900","96978","9827886500","3993149332000","39536132"
"2022/10/26","102000","1500","1.49","100000","102000","98200","65381","6573193900","4032685464000","39536132"
"2022/10/25","100500","1100","1.11","100000","101500","99600","75897","7626506000","3973381266000","39536132"
"2022/10/24","99400","-200","-0.20","101000","101000","98800","51371","5118472600","3929891520800","39536132"
"2022/10/21","99600","-200","-0.20","98900","100500","98600","48791","4856462700","3937798747200","39536132"
"2022/10/20","99800","900","0.91","98500","101000","98200","72171","7181788000","3945705973600","39536132"
"2022/10/19","98900","-1600","-1.59","102000","103000","98500","87440","8719574100","3910123454800","39536132"
"2022/10/18","100500","500","0.50","100500","102000","99400","96595","9708080400","3973381266000","39536132"
"2022/10/17","100000","1900","1.94","99000","101000","96500","85126","8406209800","3953613200000","39536132"
"2022/10/14","98100","700","0.72","97300","99000","96300","58211","5716252300","3878494549200","39536132"
"2022/10/13","97400","700","0.72","97500","99000","96700","106531","10439646800","3850819256800","39536132"
"2022/10/12","96700","-1500","-1.53","97500","98500","96600","87386","8516662600","3823143964400","39536132"
"2022/10/11","98200","-2800","-2.77","99600","101000","96700","115779","11367987800","3882448162400","39536132"
"2022/10/07","101000","500","0.50","100000","102000","98300","112015","11275131900","3993149332000","39536132"
"2022/10/06","100500","-1000","-0.99","102000","103000","100500","50588","5132515500","3973381266000","39536132"
"2022/10/05","101500","1000","1.00","101000","103000","99600","103254","10454577200","4012917398000","39536132"
"2022/10/04","100500","-2500","-2.43","103000","103000","99400","161355","16194548800","3973381266000","39536132"
"2022/09/30","103000","-2000","-1.90","106000","108000","103000","151082","15761715500","4072221596000","39536132"
"2022/09/29","105000","-1500","-1.41","107000","108000","104000","121398","12747864500","4151293860000","39536132"
"2022/09/28","106500","-2500","-2.29","108000","111000","103500","203529","21612995000","4210598058000","39536132"
"2022/09/27","109000","6500","6.34","104500","109500","102500","262090","27979320000","4309438388000","39536132"
"2022/09/26","102500","-500","-0.49","102000","106000","101000","134927","13913071000","4052453530000","39536132"
"2022/09/23","103000","-2000","-1.90","106000","107000","102500","57805","5988434000","4072221596000","39536132"
"2022/09/22","105000","500","0.48","103500","108000","102500","183767","19465870500","4151293860000","39536132"
"2022/09/21","104500","1500","1.46","101500","107000","101500","265874","27855471500","4131525794000","39536132"
"2022/09/20","103000","5100","5.21","98800","104000","98700","165551","16864477200","4072221596000","39536132"
"2022/09/19","97900","-3600","-3.55","102000","102000","97600","75483","7434564900","3870587322800","39536132"
"2022/09/16","101500","3100","3.15","97800","101500","97600","110646","11083879200","4012917398000","39536132"
"2022/09/15","98400","0","0.00","98400","99800","98400","66862","6608544600","3890355388800","39536132"
"2022/09/14","98400","-400","-0.40","97200","102000","96000","129601","12836088000","3890355388800","39536132"
"2022/09/13","98800","2000","2.07","97200","101500","97200","173593","17250614800","3906169841600","39536132"
"2022/09/08","96800","2700","2.87","95200","98200","95000","120409","11679121500","3827097577600","39536132"
"2022/09/07","94100","-1900","-1.98","94700","95500","93500","63753","6024422900","3720350021200","39536132"
"2022/09/06","96000","400","0.42","95100","96300","95000","38808","3708321600","3795468672000","39536132"
"2022/09/05","95600","-1400","-1.44","97900","98200","95100","70498","6771113400","3779654219200","39536132"
"2022/09/02","97000","-500","-0.51","97600","98400","96600","50992","4962222700","3835004804000","39536132"
"2022/09/01","97500","-900","-0.91","98200","98600","97500","68285","6690524500","3854772870000","39536132"
"2022/08/31","98400","-600","-0.61","99200","99500","97400","127824","12596698100","3890355388800","39536132"
"2022/08/30","99000","800","0.81","99000","99400","97600","67995","6711027500","3914077068000","39536132"
"2022/08/29","98200","-1400","-1.41","98500","98700","97000","71649","7013869500","3882448162400","39536132"
"2022/08/26","99600","-1400","-1.39","101000","102000","99100","137906","13770030300","3937798747200","39536132"
"2022/08/25","101000","0","0.00","101500","101500","99800","116005","11643275600","3993149332000","39536132"
"2022/08/24","101000","-500","-0.49","101500","104000","99900","171535","17353275900","3993149332000","39536132"
"2022/08/23","101500","-4500","-4.25","106000","106500","100000","339108","34399385500","4012917398000","39536132"
"2022/08/22","106000","-4000","-3.64","109000","110500","105500","137011","14703609000","4190829992000","39536132"
"2022/08/19","110000","1000","0.92","109000","112000","108500","148270","16410509000","4348974520000","39536132"
"2022/08/18","109000","3000","2.83","106000","111500","105500","217116","23804213500","4309438388000","39536132"
